A00001,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",,,"arm/arms raised, kneeling, sitting, man, man, old, blessing",date not known
,,,,,,
A00299,title not known,Ink on paper,,,"boy, girl, crouching, standing",date not known
,,,,,,
A00300,title not known,Ink on paper,,,"couch, reclining, woman",date not known
,,,,,,
A00301,title not known,Ink on paper,,,"bag, hat, man, walking",date not known
,,,,,,
A00302,title not known,Ink on paper,,,"carrying, child, woman, hat, bonnet",date not known
,,,,,,
A00303,title not known,Ink on paper,,,"gun, rifle, hat, uniform / kit, man, walking, soldier",date not known
,,,,,,
A00304,title not known,Ink on paper,,,"embracing, woman",date not known
,,,,,,
A00305,title not known,Ink on paper,,,"hat, man, standing, soldier",date not known
,,,,,,
A00306,title not known,Ink on paper,,,"hat, cap, walking, woman",date not known
,,,,,,
A00307,title not known,Ink on paper,,,"sitting, woman",date not known
,,,,,,
A00308,title not known,Ink on paper,,,"coat, hat, man, standing",date not known
,,,,,,
A00309,title not known,Ink on paper,,,"reading, sitting, woman",date not known
,,,,,,
A00310,title not known,Ink on paper,,,"book - non-specific, chair, legs crossed, sitting, man, reading",date not known
,,,,,,
A00311,title not known,Ink on paper,,,"book - non-specific, legs crossed, sitting, man, reading",date not known
,,,,,,
A00312,title not known,Ink on paper,,,"hat, bonnet, standing, woman",date not known
,,,,,,
A00313,title not known,Ink and watercolour on paper,,,"man, reclining",date not known
,,,,,,
A00314,title not known,Ink on paper,,,"embracing, lying down, sleeping, woman",date not known
,,,,,,
A00315,title not known,Ink on paper,,,"boy, sitting, woman",date not known
,,,,,,
A00316,title not known,Ink on paper,,,"chair, reading, sitting, woman",date not known
,,,,,,
A00317,title not known,Ink on paper,,,"drapery, female, sitting, woman",date not known
,,,,,,
A00318,title not known,Ink on paper,,,"baby, carrying, standing, woman",date not known
,,,,,,
A00319,title not known,Ink on paper,,,"crane, foundry, group, man, metalworking",date not known
,,,,,,
A00320,title not known,Ink on paper,,,"baby, embracing, sitting, woman, stair / step",date not known
,,,,,,
A00321,title not known,Ink on paper,,,"basket, carrying, man, walking",date not known
,,,,,,
A00322,title not known,Ink on paper,,,"bag, cane, man, standing",date not known
,,,,,,
A00323,title not known,Ink on paper,,,"reading, sitting, woman",date not known
,,,,,,
A00324,title not known,Ink on paper,,,"cart, figure, horse",date not known
,,,,,,
A00325,title not known,Ink on paper,,,"cart, group, man, woman, sack",date not known
,,,,,,
A00326,title not known,Ink on paper,,,"hat, bonnet, head in hand/hands, sitting, sleeping, woman",date not known
,,,,,,
A00327,title not known,Ink on paper,,,"cart, group, man, woman, horse",date not known
,,,,,,
A00328,title not known,Ink on paper,,,"cane, coat, hat, man, standing",date not known
,,,,,,
A00329,title not known,Ink on paper,,,"sitting, woman",date not known
,,,,,,
A00330,title not known,Ink on paper,,,"column, drawing, looking / watching, man, woman, sitting",date not known
,,,,,,
A00331,title not known,Ink on paper,,,"bending forward, kneeling, boy",date not known
,,,,,,
A00332,title not known,Ink on paper,,,"child, girl, standing, supporting, woman",date not known
,,,,,,
A00333,title not known,Ink on paper,,,"hat, bonnet, woman",date not known
,,,,,,
A00334,title not known,Ink on paper,,,"head in hand/hands, kneeling, looking down, woman",date not known
,,,,,,
A00335,title not known,Ink and watercolour on paper,,,"group, woman",date not known
,,,,,,
A00336,title not known,Ink on paper,,,"arm/arms raised, kneeling, sitting, figure, woman",date not known
,,,,,,
A00337,title not known,Ink on paper,,,"couch, reading, sitting, woman",date not known
,,,,,,
A00338,title not known,Ink on paper,,,"couple, man, woman",date not known
,,,,,,
A00339,title not known,Ink on paper,,,"hat, bonnet, head in hand/hands, woman",date not known
,,,,,,
A00340,title not known,Ink on paper,,,"hat, man, standing",date not known
,,,,,,
A00341,title not known,Ink on paper,,,"lying down, sleeping, woman",date not known
,,,,,,
A00342,title not known,Ink on paper,,,"baby, child, carrying, woman",date not known
,,,,,,
A00343,title not known,Ink on paper,,,"carrying, man, hat, puppet, milestone",date not known
,,,,,,
A00344,title not known,Ink and watercolour on paper,,,"reclining, woman",date not known
,,,,,,
A00345,title not known,Ink on paper,,,"head in hand/hands, sitting, woman",date not known
,,,,,,
A00346,title not known,Ink on paper,,,"hat, bonnet, sitting, woman",date not known
,,,,,,
A00347,title not known,Ink on paper,,,"embracing, reclining, woman",date not known
,,,,,,
A00348,title not known,Ink on paper,,,"basket, looking down, sitting, man, stair / step",date not known
,,,,,,
A00349,title not known,Ink on paper,,,"bending forward, sitting, man, turban",date not known
,,,,,,
A00350,title not known,Ink on paper,,,"hat, sitting, woman",date not known
,,,,,,
A00351,title not known,Ink and watercolour on paper,,,"hands crossed, reclining, woman",date not known
,,,,,,
A00352,title not known,Ink on paper,,,"knitting, sitting, woman",date not known
,,,,,,
A00353,title not known,Ink on paper,,,"looking down, standing, man",date not known
,,,,,,
A00354,title not known,Ink and watercolour on paper,,,"card game, group, looking down, sitting, standing, man, woman, playing card",date not known
,,,,,,
A00355,title not known,Ink on paper,,,"figure, hand/hands on hip, standing",date not known
,,,,,,
A00356,title not known,Ink and watercolour on paper,,,"hat, purse, head in hand/hands, standing, woman",date not known
,,,,,,
A00357,title not known,Ink on paper,,,"child, woman, hat",date not known
,,,,,,
A00358,title not known,Ink on paper,,,"arm/arms raised, group, woman, dance",date not known
,,,,,,
A00359,title not known,Ink on paper,,,"couch, reading, reclining, woman",date not known
,,,,,,
A00360,title not known,Ink and watercolour on paper,,,"chair, hat, bonnet, sitting, woman",date not known
,,,,,,
A00361,title not known,Ink on paper,,,"cloak, man, sitting",date not known
,,,,,,
A00362,title not known,Ink on paper,,,"man, reclining, reading",date not known
,,,,,,
A00363,title not known,Ink on paper,,,"arm/arms raised, sitting, woman",date not known
,,,,,,
A00364,title not known,Ink on paper,,,"girl, looking down, sitting",date not known
,,,,,,
A00365,title not known,Ink on paper,,,"man, reclining, sleeping",date not known
,,,,,,
A00366,title not known,Ink on paper,,,"man, woman, sitting, standing",date not known
,,,,,,
A00367,title not known,Ink on paper,,,"boy, sitting, instrument, flute, music",date not known
,,,,,,
A00368,title not known,Ink and watercolour on paper,,,"bath, child, kneeling, washing, woman",date not known
,,,,,,
A00369,title not known,Ink on paper,,,"book - non-specific, legs crossed, sitting, man, pointing, reading",date not known
,,,,,,
A00370,title not known,Ink on paper,,,"man, reclining",date not known
,,,,,,
A00371,title not known,Ink on paper,,,"book - non-specific, boy, leg/legs raised, sitting, reading",date not known
,,,,,,
A00372,title not known,Ink and watercolour on paper,,,"group, sitting, standing, woman, headdress",date not known
,,,,,,
A00373,title not known,Ink and watercolour on paper,,,"man, reclining",date not known
,,,,,,
A00374,title not known,Ink and watercolour on paper,,,"child, head in hand/hands, woman, mother and child",date not known
,,,,,,
A00375,title not known,Ink on paper,,,"boy, cart, dog - non-specific",date not known
,,,,,,
A00376,title not known,Ink on paper,,,"girl, sitting, sack",date not known
,,,,,,
A00377,title not known,Ink on paper,,,"sitting, woman",date not known
,,,,,,
A00378,title not known,Ink on paper,,,"figure, sitting",date not known
,,,,,,
A00379,title not known,Ink on paper,,,"hat, man, reclining, sitting",date not known
,,,,,,
A00380,title not known,Ink on paper,,,"child, kneeling, woman, mother and child",date not known
,,,,,,
A00381,title not known,Ink on paper,,,"child, kneeling, sleeping, woman, mother and child",date not known
,,,,,,
A00382,title not known,"Ink, graphite and watercolour on paper",,,"child, sleeping",date not known
,,,,,,
A00383,title not known,Ink on paper,,,"man, sitting, reading",date not known
,,,,,,
A00384,title not known,Ink on paper,,,"embroidery, group, woman",date not known
,,,,,,
A00385,title not known,Ink on paper,,,"girl, group, holding hands",date not known
,,,,,,
A00386,title not known,Ink on paper,,,"basket, carrying, man, standing",date not known
,,,,,,
A00387,title not known,Ink on paper,,,woman,date not known
,,,,,,
A00388,title not known,Ink and watercolour on paper,,,"lying down, reclining, man",date not known
,,,,,,
A00389,title not known,Ink on paper,,,"coat, hat, dog - non-specific, man, woman, reclining, standing",date not known
,,,,,,
A00390,title not known,Ink on paper,,,"group, woman",date not known
,,,,,,
A00391,title not known,Ink on paper,,,"man, reclining, sitting, supporting",date not known
,,,,,,
A00392,title not known,Ink on paper,,,"hands crossed, sitting, woman, headdress",date not known
,,,,,,
A00393,title not known,Ink on paper,,,"reading, standing, woman",date not known
,,,,,,
A00394,title not known,Ink on paper,,,"instrument, barrel organ, man, standing, music",date not known
,,,,,,
A00395,title not known,Ink on paper,,,"boy, sitting, hat, cap",date not known
,,,,,,
A00396,title not known,Ink on paper,,,"boy, girl, walking, woman, donkey, riding",date not known
,,,,,,
A00397,title not known,Ink on paper,,,"carrying, child, standing, woman",date not known
,,,,,,
A00398,title not known,Ink on paper,,,"carrying, child, standing, woman",date not known
,,,,,,
A00399,title not known,Ink on paper,,,"kneeling, sitting, woman",date not known
,,,,,,
A00400,title not known,Ink on paper,,,"bending forward, man",date not known
,,,,,,
A00401,title not known,Ink on paper,,,"cloak, hat, bonnet, sitting, woman",date not known
,,,,,,
A00402,title not known,Ink and watercolour on paper,,,"arms folded, hand/hands on hip, standing, man, talking",date not known
,,,,,,
A00403,title not known,Ink on paper,,,"man, sitting",date not known
,,,,,,
A00404,title not known,Ink on paper,,,"hand/hands on hip, legs crossed, standing, man, hat, smock",date not known
,,,,,,
A00405,title not known,Ink on paper,,,"basket, carrying, standing, woman",date not known
,,,,,,
A00406,title not known,Ink on paper,,,"box, whip, child, man, standing, dog - non-specific, riding",date not known
,,,,,,
A00407,title not known,Ink on paper,,,"hat, kneeling, man, theatrical costume",date not known
,,,,,,
A00408,title not known,Ink on paper,,,"chair, head in hand/hands, sitting, individuals: male, man",date not known
,,,,,,
A00409,title not known,Ink and watercolour on paper,,,"back, man, standing, cane",date not known
,,,,,,
A00410,title not known,Ink on paper,,,"couch, headdress, sitting, woman",date not known
,,,,,,
A00411,title not known,Ink on paper,,,"head in hand/hands, kneeling, sitting, kissing, man, woman",date not known
,,,,,,
A00412,title not known,Ink on paper,,,"boat, sailing, man",date not known
,,,,,,
A00413,title not known,Ink on paper,,,"book - non-specific, legs crossed, sitting, man, reading",date not known
,,,,,,
A00414,title not known,Ink on paper,,,"coat, hat, man, standing",date not known
,,,,,,
A00415,title not known,Ink on paper,,,"hat, cap, man, sitting",date not known
,,,,,,
A00416,title not known,Ink on paper,,,"hat, bonnet, hat, cap, kneeling, standing, man, woman",date not known
,,,,,,
A00417,title not known,Ink on paper,,,"basket, man, standing",date not known
,,,,,,
A00418,title not known,Ink on paper,,,"lying down, man",date not known
,,,,,,
A00419,title not known,Ink on paper,,,"couple, love, man, woman, reclining, sitting",date not known
,,,,,,
A00420,title not known,Ink on paper,,,"basket, crouching, sitting, group, man",date not known
,,,,,,
A00421,title not known,Ink on paper,,,"apron, girl, standing, woman",date not known
,,,,,,
A00422,title not known,Ink on paper,,,"head in hand/hands, reclining, sitting, man, woman",date not known
,,,,,,
A00423,title not known,Ink on paper,,,"head / face, man",date not known
,,,,,,
A00424,title not known,Ink on paper,,,"head in hand/hands, sitting, supporting, woman",date not known
,,,,,,
A00425,title not known,Ink on paper,,,"barrel, head in hand/hands, sitting, man",date not known
,,,,,,
A00426,title not known,Ink on paper,,,"head in hand/hands, sitting, man",date not known
,,,,,,
A00427,title not known,Ink on paper,,,"boy, head in hand/hands, sitting",date not known
,,,,,,
A00428,title not known,Ink on paper,,,"child, looking down, sitting, man",date not known
,,,,,,
A00429,title not known,Ink on paper,,,"man, reclining",date not known
,,,,,,
A00430,title not known,Ink on paper,,,"boy, standing, whip",date not known
,,,,,,
A00431,title not known,Ink on paper,,,"child, girl, sitting",date not known
,,,,,,
A00432,title not known,Ink on paper,,,"head in hand/hands, sitting, man, pipe, smoking",date not known
,,,,,,
A00433,title not known,Ink and graphite on paper,,,"carrying, child, standing, woman",date not known
,,,,,,
A00434,title not known,Ink on paper,,,"basket, boat, sailing, boy, crowd, man, sitting, standing, dock, dog - non-specific",date not known
,,,,,,
A00435,title not known,Ink on paper,,,"baby, child, group, sitting, woman",date not known
,,,,,,
A00436,title not known,Ink on paper,,,"headdress, sitting, woman",date not known
,,,,,,
A00437,title not known,Ink on paper,,,"donkey, man, walking",date not known
,,,,,,
A00438,title not known,Ink on paper,,,"looking down, sitting, woman",date not known
,,,,,,
A00439,title not known,Ink on paper,,,"boy, girl, group, woman, wheelbarrow",date not known
,,,,,,
A00440,title not known,Ink on paper,,,"man, woman, sitting, talking, tree",date not known
,,,,,,
A00441,title not known,Ink on paper,,,"sitting, woman",date not known
,,,,,,
A00442,title not known,Ink on paper,,,"""artists notes"", couch, figure, woman, head in hand/hands, reclining, sitting",date not known
,,,,,,
A00443,title not known,Ink on paper,,,"man, sitting",date not known
,,,,,,
A00444,title not known,Ink on paper,,,"embracing, kneeling, sitting, male, man, woman",date not known
,,,,,,
A00445,title not known,Ink on paper,,,"reclining, woman",date not known
,,,,,,
A00446,title not known,Ink on paper,,,"male, man, sitting",date not known
,,,,,,
A00447,title not known,Ink on paper,,,"embracing, man, woman",date not known
,,,,,,
A00448,title not known,Ink on paper,,,"book - non-specific, desk, man, sitting, reading",date not known
,,,,,,
A00449,title not known,Graphite and watercolour on paper,,,woman,date not known
,,,,,,
A00450,title not known,Graphite and watercolour on paper,,,"head in hand/hands, woman",date not known
,,,,,,
A00451,title not known,Ink and graphite on paper,,,"sitting, woman",date not known
,,,,,,
A00452,title not known,Ink on paper,,,"sitting, woman",date not known
,,,,,,
A00453,title not known,Ink on paper,,,"reclining, woman",date not known
,,,,,,
A00454,title not known,"Ink, graphite and watercolour on paper",,,"boy, man, hat, horse, riding",date not known
,,,,,,
A00455,title not known,Ink and graphite on paper,,,"basket, cart, group, man, woman",date not known
,,,,,,
A00456,title not known,Ink and watercolour on paper,,,"girl, sitting, talking, woman, mother and child",date not known
,,,,,,
A00457,title not known,Ink on paper,,,"arm/arms raised, carrying, child, woman",date not known
,,,,,,
A00458,title not known,Ink and watercolour on paper,,,"hat, standing, woman",date not known
,,,,,,
A00459,title not known,Ink on paper,,,"carrying, man, walking, firewood, hat, staff",date not known
,,,,,,
A00460,title not known,Watercolour and graphite on paper,,,"man, reclining",date not known
,,,,,,
A00461,title not known,Ink on paper,,,"man, toga",date not known
,,,,,,
A00462,title not known,Watercolour on paper,,,"dog - non-specific, hat, wheelbarrow, man",date not known
,,,,,,
A00463,title not known,Ink on paper,,,"embracing, girl",date not known
,,,,,,
A00464,title not known,Ink on paper,,,"dog - non-specific, hat, cap, staff, man, sitting",date not known
,,,,,,
A00465,title not known,"Ink, graphite and watercolour on paper. Verso: graphite on paper",,,"box, hat, bonnet, kneeling, talking, woman",date not known
,,,,,,
A00466,title not known,Ink on paper,,,"legs crossed, sitting, man",date not known
,,,,,,
A00467,title not known,Ink on paper,,,"basket, fishing net, hat, man, walking",date not known
,,,,,,
A00468,title not known,Ink and watercolour on paper,,,"bowl, umbrella, carrying, standing, woman",date not known
,,,,,,
A00469,title not known,Ink and watercolour on paper,,,"embracing, man, woman, reclining",date not known
,,,,,,
A00470,title not known,"Ink, graphite and watercolour on paper",,,"embracing, head in hand/hands, sitting, man, woman",date not known
,,,,,,
A00471,title not known,Ink and graphite on paper,,,"group, man, sitting, standing, gun, rifle, soldier",date not known
,,,,,,
A00472,title not known,"Ink, graphite and watercolour on paper",,,"group, man, woman, sitting, standing, table",date not known
,,,,,,
A00473,title not known,"Ink, graphite and watercolour on paper",,,"back, man, pointing, soldier, sword",date not known
,,,,,,
A00474,title not known,"Ink, watercolour and graphite on paper",,,"bending forward, child, group, man, groom, horse, stable, stair / step, yard",date not known
,,,,,,
A00475,title not known,"Ink, graphite and watercolour on paper",,,"female, looking down, woman",date not known
,,,,,,
A00476,title not known,Ink and watercolour on paper,,,"baby, carrying, walking, woman",date not known
,,,,,,
A00477,title not known,Ink and graphite on paper,,,"child, embracing, sitting, woman",date not known
,,,,,,
A00478,title not known,"Watercolour, ink and graphite on paper",,,"embracing, figure, woman, group, reclining",date not known
,,,,,,
A00479,title not known,"Ink, watercolour and graphite on paper",,,"barrel, bending forward, man, cart, drawing water",date not known
,,,,,,
A00480,title not known,Graphite and ink on paper,,,"hat, man, sitting",date not known
,,,,,,
A00481,title not known,"Ink, watercolour and graphite on paper",,,"dog - non-specific, sitting, woman",date not known
,,,,,,
A00482,title not known,"Ink, watercolour and graphite on paper",,,"boy, disability, woman, crutch",date not known
,,,,,,
A00483,title not known,Ink and watercolour on paper,,,"hat, wheelbarrow, man",date not known
,,,,,,
A00484,title not known,Ink on paper,,,"child, man, sitting, hat",date not known
,,,,,,
A00485,title not known,Ink and watercolour on paper,,,"sitting, woman",date not known
,,,,,,
A00486,title not known,Ink and graphite on paper,,,"book - non-specific, man, sitting, reading",date not known
,,,,,,
A00487,title not known,Ink and watercolour on paper,,,"cane, hat, child, man, sitting",date not known
,,,,,,
A00488,title not known,Ink and watercolour on paper,,,"chair, legs crossed, sitting, man, reading",date not known
,,,,,,
A00489,title not known,"Ink, watercolour and graphite on paper",,,"chair, legs crossed, sitting, man, sleeping",date not known
,,,,,,
A00490,title not known,"Ink, watercolour and graphite on paper",,,"broom, man, standing",date not known
,,,,,,
A00491,title not known,Ink on paper,,,"group, sitting, standing, woman, headdress",date not known
,,,,,,
A00492,title not known,"Graphite, ink and watercolour on paper",,,"bag, headdress, jewellery, purse, couch, sitting, woman",date not known
,,,,,,
A00493,title not known,Graphite on paper,,,"child, sitting, supporting, woman",date not known
,,,,,,
A00494,title not known,Graphite and watercolour on paper,,,"basket, wheelbarrow",date not known
,,,,,,
A00495,title not known,Ink and watercolour on paper,,,"head in hand/hands, sitting, woman",date not known
,,,,,,
A00496,title not known,Watercolour and graphite on paper,,,"basket, staff, carrying, man, standing",date not known
,,,,,,
A00497,title not known,Ink and watercolour on paper,,,"basket, hat, bonnet, carrying, standing, woman",date not known
,,,,,,
A00498,title not known,Watercolour and graphite on paper,,,"man, standing, staff",date not known
,,,,,,
A00499,title not known,Ink and watercolour on paper,,,"hat, man, sitting",date not known
,,,,,,
A00500,title not known,Ink on paper,,,"cart, figure, horse",date not known
,,,,,,
A00501,title not known,Ink and graphite on paper,,,"back, sitting, woman, stool",date not known
,,,,,,
A00502,title not known,Graphite and watercolour on paper,,,"book - non-specific, man, reading",date not known
,,,,,,
A00503,title not known,Watercolour and graphite on paper,,,"cart, child, group, woman, horse",date not known
,,,,,,
A00504,title not known,Ink and watercolour on paper,,,"cart, hay, trough, horse",date not known
,,,,,,
A00505,title not known,Graphite and ink on paper,,,"group, man, woman, reclining, sitting, standing",date not known
,,,,,,
A00506,title not known,"Graphite, ink and watercolour on paper",,,"headdress, sitting, woman",date not known
,,,,,,
A00507,title not known,Ink on paper,,,"baby, girl, kneeling, pushing, pram",date not known
,,,,,,
A00508,title not known,"Watercolour, ink and graphite on paper",,,"cart, figure, horse",date not known
,,,,,,
A00509,title not known,Ink on paper,,,"boy, hand/hands on hip, reclining",date not known
,,,,,,
A00510,title not known,Ink and watercolour on paper,,,"girl, group, man, woman, sitting, hat, jug",date not known
,,,,,,
A00511,title not known,Ink and watercolour on paper,,,"basket, bucket, hat, man, standing",date not known
,,,,,,
A00512,title not known,Ink and watercolour on paper,,,"reclining, woman",date not known
,,,,,,
A00513,title not known,Watercolour and graphite on paper,,,"basket, sitting, woman",date not known
,,,,,,
A00514,title not known,Ink and graphite on paper,,,"cart, child, group, man, woman, hat",date not known
,,,,,,
A00515,title not known,Ink and watercolour on paper,,,"book - non-specific, man, standing, reading",date not known
,,,,,,
A00516,title not known,Graphite and watercolour on paper,,,"reclining, woman",date not known
,,,,,,
A00517,title not known,Ink and graphite on paper,,,"man, reclining, sitting, soldier, trunk, uniform / kit",date not known
,,,,,,
A00518,title not known,Watercolour and graphite on paper,,,"boy, girl, standing, instrument, tambourine, staff",date not known
,,,,,,
A00519,title not known,Watercolour and graphite on paper,,,"man, sitting",date not known
,,,,,,
A00520,title not known,Ink and graphite on paper,,,"embracing, reclining, sitting, woman, tenderness",date not known
,,,,,,
A00521,title not known,Watercolour and graphite on paper,,,"chair, interior - non-specific, man, sitting, reading",date not known
,,,,,,
A00522,title not known,Graphite on paper,,,"couple, man, woman, reclining, trunk",date not known
,,,,,,
A00523,title not known,Graphite on paper,,,"bottle, chair, table, interior - non-specific, man, woman, sitting",date not known
,,,,,,
A00524,title not known,Graphite on paper,,,"boat, punt, hill, river, man",date not known
,,,,,,
A00525,title not known,Graphite on paper,,,"book - non-specific, chair, legs crossed, sitting, man, reading",date not known
,,,,,,
A00526,title not known,Graphite on paper,,,"box, man, sitting",date not known
,,,,,,
A00527,title not known,"Graphite, ink and gouache on paper",,,"girl, group, woman",date not known
,,,,,,
A00528,title not known,"Ink, graphite and gouache on paper",,,"cane, hat, man, woman, sitting",date not known
,,,,,,
A00529,title not known,Graphite and watercolour on paper,,,"cloak, sitting, woman",date not known
,,,,,,
A00530,title not known,Graphite on paper,,,"barrel, child, woman, duck, mother and child",date not known
,,,,,,
A00531,title not known,"Ink, graphite and watercolour on paper. Verso: graphite on paper",,,"child, standing",date not known
,,,,,,
A00532,title not known,Graphite on paper,,,"head / face, man",date not known
,,,,,,
A00533,title not known,Graphite on paper,,,"basket, bending forward, woman",date not known
,,,,,,
A00534,title not known,Graphite on paper,,,"hat, bonnet, sitting, woman",date not known
,,,,,,
A00535,title not known,Graphite on paper. Verso: ink on paper,,,"sitting, woman",date not known
,,,,,,
A00536,title not known,Ink and graphite on paper,,,"bag, basket, carrying, man, walking",date not known
,,,,,,
A00537,title not known,Ink and graphite on paper,,,"boy, legs crossed, sitting",date not known
,,,,,,
A00538,title not known,Ink and graphite on paper,,,"beach, boat, fishing, boat, sailing, fishing net, group, man",date not known
,,,,,,
A00539,title not known,Ink on paper,,,"barrel, carrying, man",date not known
,,,,,,
A00540,title not known,Ink on paper,,,"hands crossed, sitting, woman",date not known
,,,,,,
A00541,title not known,Ink and graphite on paper,,,"bench, hat, cap, man, sitting, talking",date not known
,,,,,,
A00542,title not known,Ink and graphite on paper,,,"child, sitting, woman",date not known
,,,,,,
A00543,title not known,Ink and graphite on paper,,,"gun, rifle, man, standing, soldier",date not known
,,,,,,
A00544,title not known,"Ink, watercolour and graphite on paper",,,"boat, sailing, group, man, platform / stage",date not known
,,,,,,
A00545,title not known,Ink and graphite on paper,,,"man, standing",date not known
,,,,,,
A00546,title not known,Ink and watercolour on paper,,,"box, crane, man, pushing",date not known
,,,,,,
A00547,title not known,Ink and gouache on paper,,,"carrying, child, man, walking",date not known
,,,,,,
A00548,title not known,Ink and gouache on paper,,,"hat, man, sitting",date not known
,,,,,,
A00549,title not known,Ink on paper,,,"barrel, bundle, carrying, man",date not known
,,,,,,
A00550,title not known,Ink and graphite on paper,,,"basket, bundle, hat, carrying, standing, woman, horse, pack animal",date not known
,,,,,,
A00551,title not known,"Ink, graphite and gouache on paper",,,"baby, child, carrying, sitting, woman, bucket",date not known
,,,,,,
A00552,title not known,Ink and graphite on paper,,,"carrying, child, walking, woman",date not known
,,,,,,
A00553,title not known,Ink and graphite on paper,,,"horse, man, riding",date not known
,,,,,,
A00554,title not known,Ink on paper,,,"chair, interior - non-specific, man, woman, sitting, talking",date not known
,,,,,,
A00555,title not known,Ink and graphite on paper,,,"combing hair, girl, sitting",date not known
,,,,,,
A00556,title not known,"Ink, watercolour and graphite on paper",,,"carrying, child, woman, mother and child",date not known
,,,,,,
A00557,title not known,"Ink, graphite and watercolour on paper",,,"bundle, carrying, embracing, kneeling, standing, man, woman, prayer",date not known
,,,,,,
A00558,title not known,Graphite and gouache on paper,,,"group, man, woman, sitting, hat",date not known
,,,,,,
A00559,title not known,"Ink, watercolour and graphite on paper",,,"basket, carriage, carrying, child, sitting, talking, woman, coachman, horse, reading",date not known
,,,,,,
A00560,title not known,Graphite and ink on paper,,,"basket, boy, carrying, man, sitting, walking",date not known
,,,,,,
A00561,title not known,Watercolour and ink on paper,,,"group, woman, shadow",date not known
,,,,,,
A00562,title not known,Watercolour on paper,,,"living room, man, woman, spinning, spinning wheel, window",date not known
,,,,,,
A00563,title not known,Watercolour on paper,,,"box, trunk, coat, hat, hat, bonnet, staff, man, woman, sitting",date not known
,,,,,,
A00564,title not known,Watercolour and graphite on paper,,,"hat, lying down, man, sleeping",date not known
,,,,,,
A00565,title not known,Watercolour and ink on paper,,,"child, woman, mother and child",date not known
,,,,,,
A00566,title not known,"Watercolour, ink and graphite on paper",,,"book - non-specific, desk, looking down, sitting, man, study",date not known
,,,,,,
A00567,title not known,Watercolour and graphite on paper,,,"basket, hat, carrying, standing, woman",date not known
,,,,,,
A00568,title not known,Watercolour and graphite on paper,,,"hat, bonnet, scarf, standing, woman",date not known
,,,,,,
A00569,title not known,Watercolour and graphite on paper,,,"head / face, woman, headdress",date not known
,,,,,,
A00570,title not known,Watercolour and graphite on paper,,,"apron, sitting, woman",date not known
,,,,,,
A00571,title not known,Watercolour and graphite on paper,,,"back, standing, woman, basket, dress, hat",date not known
,,,,,,
A00572,title not known,Watercolour on paper,,,"apron, hat, bonnet, umbrella, standing, woman",date not known
,,,,,,
A00573,title not known,Watercolour on paper,,,"head in hand/hands, sitting, woman",date not known
,,,,,,
A00574,title not known,Watercolour and graphite on paper,,,"apron, standing, woman",date not known
,,,,,,
A00575,title not known,"Ink, watercolour and gouache on paper",,,"child, wheelbarrow",date not known
,,,,,,
A00576,title not known,Watercolour and ink on paper,,,"book - non-specific, reading, woman",date not known
,,,,,,
A00577,title not known,Watercolour and ink on paper,,,"head in hand/hands, looking up, woman",date not known
,,,,,,
A00578,title not known,"Watercolour, ink and graphite on paper",,,"figure, head in hand/hands, reclining",date not known
,,,,,,
A00579,title not known,Watercolour and graphite on paper,,,"chair, sitting, woman",date not known
,,,,,,
A00580,title not known,"Watercolour, ink and graphite on paper",,,"leg/legs raised, sitting, woman",date not known
,,,,,,
A00581,title not known,"Watercolour, ink and graphite on paper",,,"reclining, woman",date not known
,,,,,,
A00582,title not known,"Watercolour, ink and graphite on paper",,,"man, sitting",date not known
,,,,,,
A00583,title not known,Ink and graphite on paper,,,"group, man, sitting, standing, gun, rifle, spear, uniform / kit, soldier",date not known
,,,,,,
A00584,title not known,"Watercolour, ink and gouache on paper",,,"chair, figure, group, kneeling",date not known
,,,,,,
A00585,title not known,Graphite and gouache on paper,,,"boat, punt, fishing, hat, man, woman",date not known
,,,,,,
A00586,title not known,Ink and watercolour on paper,,,"couple, group, kneeling, walking, man, woman",date not known
,,,,,,
A00587,title not known,"Ink, watercolour and graphite on paper",,,"child, man, standing, staff, windmill",date not known
,,,,,,
A00588,title not known,Watercolour and ink on paper,,,"baby, carrying, man, woman, sitting, standing, cart, haystack, horse",date not known
,,,,,,
A00589,title not known,Graphite and ink on paper,,,"carrying, woman, cloth",date not known
,,,,,,
A00590,title not known,Watercolour and graphite on paper,,,"boat, sailing, figure",date not known
,,,,,,
A00591,title not known,"Watercolour, ink and graphite on paper",,,"hat, uniform / kit, man, sitting, soldier",date not known
,,,,,,
A00592,title not known,"Watercolour, ink and graphite on paper",,,"hat, cap, wheel, man, ship - non-specific",date not known
,,,,,,
A00593,title not known,Watercolour and ink on paper,,,"man, woman, sitting",date not known
,,,,,,
A00594,title not known,Watercolour and ink on paper,,,"group, man, woman, interior - non-specific, shadow",date not known
,,,,,,
A00595,title not known,Watercolour and ink on paper,,,"arch, stair / step, hallway, man, standing",date not known
,,,,,,
A00596,title not known,"Watercolour, graphite and ink on paper",,,"blacksmith, horse, man",date not known
,,,,,,
A00597,title not known,Graphite and gouache on paper,,,"basket, carrying, child, sitting, woman, hill",date not known
,,,,,,
